Market,Year,TotalFunds
Advertising,2000,486
Advertising,2001,634
Advertising,2002,273
Advertising,2003,331
Advertising,2004,841
Advertising,2005,1216
Advertising,2006,1334
Advertising,2007,1253
Advertising,2008,2079
Advertising,2009,579
Advertising,2010,364
Advertising,2011,195
Advertising,2012,256
Advertising,2013,47
Advertising,2014,19
Biotechnology,2000,2854
Biotechnology,2001,2110
Biotechnology,2002,2440
Biotechnology,2003,3099
Biotechnology,2004,4194
Biotechnology,2005,4017
Biotechnology,2006,4007
Biotechnology,2007,6887
Biotechnology,2008,2989
Biotechnology,2009,2165
Biotechnology,2010,2395
Biotechnology,2011,1991
Biotechnology,2012,1236
Biotechnology,2013,967
Biotechnology,2014,35
CleanTech,2000,702
CleanTech,2001,4427
CleanTech,2002,1462
CleanTech,2003,1591
CleanTech,2004,2262
CleanTech,2005,1716
CleanTech,2006,1952
CleanTech,2007,4327
CleanTech,2008,2570
CleanTech,2009,1703
CleanTech,2010,548
CleanTech,2011,730
CleanTech,2012,157
CleanTech,2013,404
CleanTech,2014,100
CuratedWeb,2000,275
CuratedWeb,2001,215
CuratedWeb,2002,123
CuratedWeb,2003,173
CuratedWeb,2004,488
CuratedWeb,2005,502
CuratedWeb,2006,426
CuratedWeb,2007,451
CuratedWeb,2008,720
CuratedWeb,2009,1986
CuratedWeb,2010,605
CuratedWeb,2011,496
CuratedWeb,2012,397
CuratedWeb,2013,175
CuratedWeb,2014,10
eCommerce,2000,686
eCommerce,2001,307
eCommerce,2002,631
eCommerce,2003,614
eCommerce,2004,350
eCommerce,2005,542
eCommerce,2006,1247
eCommerce,2007,2444
eCommerce,2008,1213
eCommerce,2009,1246
eCommerce,2010,2819
eCommerce,2011,1227
eCommerce,2012,1923
eCommerce,2013,279
eCommerce,2014,90
Education,2000,13
Education,2001,31
Education,2002,32
Education,2003,60
Education,2004,321
Education,2005,122
Education,2006,239
Education,2007,172
Education,2008,310
Education,2009,168
Education,2010,289
Education,2011,312
Education,2012,321
Education,2013,130
Education,2014,200
Enterprise,2000,1000
Enterprise,2001,509
Enterprise,2002,873
Enterprise,2003,1025
Enterprise,2004,1003
Enterprise,2005,1213
Enterprise,2006,1211
Enterprise,2007,2573
Enterprise,2008,1131
Enterprise,2009,1640
Enterprise,2010,815
Enterprise,2011,453
Enterprise,2012,365
Enterprise,2013,156
Enterprise,2014,4
Finance,2000,278
Finance,2001,764
Finance,2002,50
Finance,2003,187
Finance,2004,153
Finance,2005,486
Finance,2006,638
Finance,2007,662
Finance,2008,579
Finance,2009,830
Finance,2010,429
Finance,2011,1038
Finance,2012,875
Finance,2013,194
Finance,2014,22
Games,2000,274
Games,2001,45
Games,2002,555
Games,2003,636
Games,2004,190
Games,2005,434
Games,2006,687
Games,2007,1140
Games,2008,755
Games,2009,462
Games,2010,603
Games,2011,425
Games,2012,219
Games,2013,88
Games,2014,7
Health,2000,40
Health,2001,146
Health,2002,274
Health,2003,60
Health,2004,228
Health,2005,2906
Health,2006,708
Health,2007,895
Health,2008,317
Health,2009,415
Health,2010,259
Health,2011,854
Health,2012,223
Health,2013,220
Health,2014,12
Manufacturing,2000,396
Manufacturing,2001,89
Manufacturing,2002,426
Manufacturing,2003,436
Manufacturing,2004,236
Manufacturing,2005,1648
Manufacturing,2006,406
Manufacturing,2007,482
Manufacturing,2008,168
Manufacturing,2009,291
Manufacturing,2010,183
Manufacturing,2011,206
Manufacturing,2012,352
Manufacturing,2013,11
Manufacturing,2014,15
Mobile,2000,833
Mobile,2001,1130
Mobile,2002,658
Mobile,2003,993
Mobile,2004,1233
Mobile,2005,1370
Mobile,2006,911
Mobile,2007,1097
Mobile,2008,812
Mobile,2009,1108
Mobile,2010,1491
Mobile,2011,1108
Mobile,2012,818
Mobile,2013,292
Mobile,2014,13
SocialMedia,2000,12
SocialMedia,2001,15
SocialMedia,2002,46
SocialMedia,2003,37
SocialMedia,2004,284
SocialMedia,2005,321
SocialMedia,2006,344
SocialMedia,2007,414
SocialMedia,2008,327
SocialMedia,2009,184
SocialMedia,2010,304
SocialMedia,2011,192
SocialMedia,2012,220
SocialMedia,2013,39
SocialMedia,2014,20
